# AVL Insert Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 738
2048, 1362
4096, 2930
8192, 8617
16384, 15328
32768, 31170
65536, 68820
131072, 151119
262144, 315896
524288, 668744
1048576, 1346502

# Overall average of 10 trials for each set of elements: 
# 237384 
