# AVL Search Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 376
2048, 791
4096, 1589
8192, 2411
16384, 4825
32768, 12285
65536, 26662
131072, 60504
262144, 130895
524288, 294894
1048576, 626865

# Overall average of 10 trials for each set of elements: 
# 105645 
