# AVL Iterator Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 5
2048, 10
4096, 21
8192, 43
16384, 78
32768, 202
65536, 438
131072, 1023
262144, 2170
524288, 4276
1048576, 8838

# Overall average of 10 trials for each set of elements: 
1710 
