# AVL Sort Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 77
2048, 135
4096, 294
8192, 659
16384, 1309
32768, 2964
65536, 6581
131072, 14551
262144, 32183
524288, 72267
1048576, 159169

# Overall average of 10 trials for each set of elements: 
29018 
