# AVL Search Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 113
2048, 234
4096, 521
8192, 1244
16384, 2855
32768, 6039
65536, 14530
131072, 32396
262144, 69130
524288, 149800
1048576, 315929

# Overall average of 10 trials for each set of elements: 
59279 
