# AVL Insert Benchmarks 
# Elements, Time (microsec. on average of 10 trials with corresponding nr. of elements) 
1024, 470
2048, 1504
4096, 2935
8192, 3119
16384, 7196
32768, 15857
65536, 35158
131072, 75810
262144, 163578
524288, 349754
1048576, 747601

# Overall average of 10 trials for each set of elements: 
140298 
